Repository Name,Repository URL
ICC-World-Cup-T20-Data-Analysis-Project,https://github.com/VEDAANT711/ICC-World-Cup-T20-Data-Analysis-Project
VedantPortfolio,https://github.com/VEDAANT711/VedantPortfolio
PizzaSales_SQL_Project,https://github.com/VEDAANT711/PizzaSales_SQL_Project
SQL-Python-Project,https://github.com/VEDAANT711/SQL-Python-Project
React,https://github.com/VEDAANT711/React
Zomato-Data-Analysis-Project,https://github.com/VEDAANT711/Zomato-Data-Analysis-Project
VEDAANT711,https://github.com/VEDAANT711/VEDAANT711
PowerBI-Project,https://github.com/VEDAANT711/PowerBI-Project
Javascript_new,https://github.com/VEDAANT711/Javascript_new
PYTHON2,https://github.com/VEDAANT711/PYTHON2
Python_Projects,https://github.com/VEDAANT711/Python_Projects
SQL,https://github.com/VEDAANT711/SQL
Data-Science,https://github.com/VEDAANT711/Data-Science
GRIP-TASK,https://github.com/VEDAANT711/GRIP-TASK
SDP_1-vedant-gaikwad,https://github.com/VEDAANT711/SDP_1-vedant-gaikwad
